,block_num,trial_id,ImgPath,onset,img_dur,trial_dur,end_time,response, ResponseTime
0,1,1,localizer_images/houses/8.jpg,15.000022958993213,0.3000086249958258,0.7500184579985216,15.750043374995585,0,
1,1,2,localizer_images/houses/20.jpg,15.750045166991185,0.30003320799733046,0.7500079580058809,16.50005487499584,0,
2,1,3,localizer_images/houses/38.jpg,16.500056624994613,0.300008334001177,0.7500115839939099,17.25006995900185,0,
3,1,4,localizer_images/houses/4.jpg,17.250071666989243,0.30001995801285375,0.7500245420087595,18.00009787498857,0,
4,1,5,localizer_images/houses/31.jpg,18.000099583994597,0.30002970799978357,0.7500281249958789,18.750129874999402,0,
5,1,6,localizer_images/houses/29.jpg,18.750132249988383,0.30002770900318865,0.7500333750067512,19.500167374993907,0,
6,1,7,localizer_images/houses/5.jpg,19.500169083999936,0.30002654099371284,0.7500264580012299,20.25019724998856,0,
7,1,8,localizer_images/houses/19.jpg,20.250199041998712,0.3000376249983674,0.7500291250034934,21.000229708995903,0,
8,1,9,localizer_images/houses/4.jpg,21.000231333993725,0.300009291007882,0.7500255000049947,21.7502590840013,0,
9,1,10,localizer_images/houses/30.jpg,21.750260834000073,0.30001279099087697,0.7500062499893829,22.500269791999017,0,
10,1,11,localizer_images/houses/20.jpg,22.50027154199779,0.30001012499269564,0.7500060000020312,23.25027908399352,0,
11,1,12,localizer_images/houses/30.jpg,23.250280791995465,0.300018458001432,0.7502292080025654,24.000511583988555,0,
12,1,13,localizer_images/houses/1.jpg,24.0005132919905,0.3000332920055371,0.7500157920003403,24.750530833989615,0,
13,1,14,localizer_images/houses/29.jpg,24.750532583988388,0.3000331250077579,0.7500106250081444,25.50054491699848,0,
14,1,15,localizer_images/houses/20.jpg,25.500546583993128,0.3000246660085395,0.7500043330073822,26.25055270899611,0,
15,1,16,localizer_images/houses/12.jpg,26.250554416998057,0.30002300000342075,0.7501427919924026,27.00069883398828,0,
16,1,17,localizer_images/houses/4.jpg,27.0007004999934,0.30003220900835004,0.750035167002352,27.75073749999865,0,
17,1,18,localizer_images/houses/25.jpg,27.750739249997423,0.3000143340032082,0.750014208999346,28.500755208995542,0,
18,1,19,localizer_images/houses/16.jpg,28.500757000001613,0.30000954199931584,0.7500113339920063,29.25077012499969,0,
19,1,20,localizer_images/houses/40.jpg,29.250771874998463,0.30003370899066795,0.7500309169990942,30.000804958996014,0,
20,2,1,localizer_images/faces/5.jpg,45.000026666995836,0.3000182919931831,0.7500124579964904,45.75004079200153,0,
21,2,2,localizer_images/faces/19.jpg,45.75004491698928,0.30001983301190194,0.7500295000063488,46.50007650000043,0,
22,2,3,localizer_images/faces/12.jpg,46.50007820899191,0.30004120800003875,0.7500161250063684,47.25010429199028,0,
23,2,4,localizer_images/faces/34.jpg,47.25012254199828,0.3000195420027012,0.7500184169912245,48.00014245900093,0,
24,2,5,localizer_images/faces/30.jpg,48.00014416698832,0.3000343750027241,0.750026625013561,48.7501724169997,0,
25,2,6,localizer_images/faces/10.jpg,48.75017412500165,0.30002966699248645,0.7500035419943742,49.500179291993845,0,
26,2,7,localizer_images/faces/6.jpg,49.50018099999579,0.3000153339962708,0.7500090419925982,50.250191792001715,0,
27,2,8,localizer_images/faces/15.jpg,50.25019349998911,0.3000406670034863,0.7501413749996573,51.00033637500019,0,
28,2,9,localizer_images/faces/24.jpg,51.000338083991664,0.30003854099777527,0.7500255830091191,51.750365291998605,0,
29,2,10,localizer_images/faces/7.jpg,51.750367083994206,0.30002841600799,0.7500070410023909,52.50037574999442,0,
30,2,11,localizer_images/faces/18.jpg,52.50037745900045,0.3000420829921495,0.7500291249889415,53.25040820900176,0,
31,2,12,localizer_images/faces/24.jpg,53.250409916989156,0.3000297920079902,0.7500378750119125,54.00044937500206,0,
32,2,13,localizer_images/faces/22.jpg,54.00045108399354,0.30002483300631866,0.7500166249956237,54.7504703339946,0,
33,2,14,localizer_images/faces/12.jpg,54.75047199999972,0.3000194170017494,0.750010833988199,55.50048420899839,0,
34,2,15,localizer_images/faces/33.jpg,55.50048591700033,0.3000455829896964,0.7500161669886438,56.25050370900135,0,
35,2,16,localizer_images/faces/14.jpg,56.250505416988744,0.3000204580021091,0.7501245000021299,57.000631541988696,0,
36,2,17,localizer_images/faces/39.jpg,57.00063316700107,0.3000279580010101,0.7500303329870803,57.75066566700116,0,
37,2,18,localizer_images/faces/5.jpg,57.75066799999331,0.3000097500043921,0.7500268340081675,58.50069699999585,0,
38,2,19,localizer_images/faces/28.jpg,58.500698624993674,0.30000658400240354,0.7500102089979919,59.250710958993295,0,
39,2,20,localizer_images/faces/16.jpg,59.250713542001904,0.30003624998789746,0.7500194999884116,60.00073462499131,0,
40,3,1,localizer_images/houses/30.jpg,75.00002875000064,0.3000353339884896,0.7500202090013772,75.75005137499829,0,
41,3,2,localizer_images/houses/40.jpg,75.75005354199675,0.3000172920001205,0.7500460830051452,76.50012629199773,0,
42,3,3,localizer_images/houses/14.jpg,76.50012825000158,0.3000385419873055,0.7500164999946719,77.2501559999946,0,
43,3,4,localizer_images/houses/5.jpg,77.25015774999338,0.30003470899828244,0.7500272920005955,78.0001866669918,0,
44,3,5,localizer_images/houses/30.jpg,78.00018841699057,0.3000366250053048,0.7500430420041084,78.75023295899155,0,
45,3,6,localizer_images/houses/12.jpg,78.75023525000142,0.30004941699735355,0.7500382919970434,79.50028349999047,0,
46,3,7,localizer_images/houses/23.jpg,79.50028524998925,0.30002075000084005,0.7500395420065615,80.25033224999788,0,
