,block_num,trial_id,ImgPath,onset,img_dur,trial_dur,end_time
0,1,1,localizer_images/houses/21.jpg,15.015963416648447,0.34181375001207925,0.7982501250080531,15.814218541650916
1,1,2,localizer_images/houses/24.jpg,15.814219874999253,0.323360333321034,0.7762818333285395,16.590504416657495
2,1,3,localizer_images/houses/6.jpg,16.590505874992232,0.32106237500556745,0.7743925416580169,17.36490108333237
3,1,4,localizer_images/houses/24.jpg,17.364902333327336,0.3163265000039246,0.7695929583278485,18.134498291648924
4,1,5,localizer_images/houses/39.jpg,18.134499708321528,0.3201754166802857,0.7730997500038939,18.90760220833181
5,1,6,localizer_images/houses/9.jpg,18.907603541651042,0.3220022500026971,0.7754195833404083,19.683026166647323
6,1,7,localizer_images/houses/25.jpg,19.68302737499471,0.3196946666575968,0.7728064999973867,20.4558368333237
7,1,8,localizer_images/houses/31.jpg,20.455838041656534,0.31836016666784417,0.7715822916652542,21.227429833321366
8,1,9,localizer_images/houses/20.jpg,21.227431916660862,0.3213627916702535,0.7746240416599903,22.00206020832411
9,1,10,localizer_images/houses/8.jpg,22.00206145833363,0.3188220416632248,0.771741041666246,22.773805083328625
10,1,11,localizer_images/houses/17.jpg,22.773806291661458,0.3193700416595675,0.7726456666714512,23.54645466664806
11,1,12,localizer_images/houses/9.jpg,23.546455916657578,0.31864437500189524,0.7718667916633422,24.318325541651575
12,1,13,localizer_images/houses/7.jpg,24.318326708322274,0.31875766668235883,0.7717716250044759,25.090101583322394
13,1,14,localizer_images/houses/37.jpg,25.090102749993093,0.3217314166686265,0.7749942916561849,25.865111124992836
14,1,15,localizer_images/houses/26.jpg,25.865113208332332,0.3221079583163373,0.7754242499941029,26.64054145832779
15,1,16,localizer_images/houses/28.jpg,26.640543333327514,0.3269542916677892,0.7795520833315095,27.42009945832251
16,1,17,localizer_images/houses/28.jpg,27.42010083333298,0.3202025833161315,0.7735049999901094,28.19360850000521
17,1,18,localizer_images/houses/19.jpg,28.193610166650615,0.3207617916777963,0.7738210833485937,28.96743479165889
18,1,19,localizer_images/houses/2.jpg,28.967436666658614,0.3219580416625831,0.7751663333328906,29.742605999999796
19,1,20,localizer_images/houses/25.jpg,29.742607249994762,0.3185424166586017,0.7714315416669706,30.514045458330656
20,2,1,localizer_images/faces/2.jpg,45.52798029164842,0.3476857083442155,0.8045764583512209,46.33256083332526
21,2,2,localizer_images/faces/38.jpg,46.332562374998815,0.3243022083333926,0.7775853333296254,47.11015104164835
22,2,3,localizer_images/faces/10.jpg,47.11015233332,0.32028483333124314,0.773599041684065,47.88375399999495
23,2,4,localizer_images/faces/27.jpg,47.88375579165586,0.32428808334225323,0.7774992083432153,48.66125879166066
24,2,5,localizer_images/faces/9.jpg,48.66126004165562,0.3186182916688267,0.7719614999950863,49.43322408333188
25,2,6,localizer_images/faces/19.jpg,49.43322541665111,0.3204000416735653,0.7733450416708365,50.2065841666481
26,2,7,localizer_images/faces/25.jpg,50.20658545831975,0.3201938750135014,0.7734759166778531,50.98006679165701
27,2,8,localizer_images/faces/3.jpg,50.980068874996505,0.32209541666088626,0.7755162499961443,51.75558758332045
28,2,9,localizer_images/faces/6.jpg,51.75558879165328,0.31802745834283996,0.7712598750076722,52.52685129165184
29,2,10,localizer_images/faces/20.jpg,52.526852625000174,0.31808137499319855,0.7713326249941019,53.29818912499468
30,2,11,localizer_images/faces/9.jpg,53.29819033332751,0.31703458332049195,0.7702672916639131,54.06846033332113
31,2,12,localizer_images/faces/22.jpg,54.06846162499278,0.3191391666623531,0.771965125008137,54.840438625004026
32,2,13,localizer_images/faces/18.jpg,54.84043995832326,0.31895108333264943,0.7721920833282638,55.61264525000297
33,2,14,localizer_images/faces/3.jpg,55.61264666666102,0.3176547499897424,0.7710358333424665,56.383685916647664
34,2,15,localizer_images/faces/2.jpg,56.38368716665718,0.3199847083451459,0.7728795833390905,57.15657029165595
35,2,16,localizer_images/faces/36.jpg,57.15657166665187,0.31916204167646356,0.7723959166760324,57.92897008333239
36,2,17,localizer_images/faces/31.jpg,57.92897141665162,0.31878495834826026,0.7720612499979325,58.701039416657295
37,2,18,localizer_images/faces/4.jpg,58.70104229165008,0.32342520834936295,0.7768632500083186,59.4779178333265
38,2,19,localizer_images/faces/29.jpg,59.477919166660286,0.31784112499735784,0.7711647499963874,60.24909720833239
39,2,20,localizer_images/faces/20.jpg,60.24909904165543,0.3185457499930635,0.7718848749937024,61.02098658333125
40,3,1,localizer_images/houses/18.jpg,76.03014954164973,0.33263583334337454,0.7889072916732403,76.81905970833031
41,3,2,localizer_images/houses/12.jpg,76.81906120832718,0.32335512500139885,0.7765991666674381,77.5956636666524
42,3,3,localizer_images/houses/2.jpg,77.59566500000074,0.31880279164761305,0.7719376666500466,78.36760570832121
43,3,4,localizer_images/houses/33.jpg,78.36760691665404,0.31874154167599045,0.7717277916672174,79.13933750000433
44,3,5,localizer_images/houses/36.jpg,79.13933879166143,0.3212141249969136,0.7743706249893876,79.91371237499698
45,3,6,localizer_images/houses/7.jpg,79.91371370833076,0.3186626249953406,0.771787999998196,80.68550441665866
46,3,7,localizer_images/houses/20.jpg,80.68550570833031,0.31730483332648873,0.7711508749925997,81.4566599583195
47,3,8,localizer_images/houses/9.jpg,81.45666116665234,0.3228661250032019,0.7761512500001118,82.23282462499628
48,3,9,localizer_images/houses/29.jpg,82.23282612499315,0.31842799999867566,0.7716295416612411,83.0044587500015
49,3,10,localizer_images/houses/4.jpg,83.00446033332264,0.3181534166797064,0.7713555416703457,83.77581845832174
